Daily_Cases,Recoveries,Deaths,Current_ICU___Active,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,First_Doses,Second_Doses,Cumulative_First_Doses,Cumulative_Second_Doses,Response_Level,Unemployment_Rate,Gatherings,Care_Facilities,K-12_Schools,Child_Care_Facilities,Restaurants/Beverage Rooms/Retail and Personal Service,Recreation_Facilities,Casino Facilities/Theatres,Indoor_Mask_Mandate,MB_Travel_Quarantine,Total_Non_Resident_Travellers (Monthly),Total_CAN_Travellers_Returning_Abroad (Monthly),Daily_Alpha_%_Of_Total_Variant
2,5,7,11,14,17,21,23,25,29,31,34,39,40,46,50,54,58,62,66,69,72,74,77,79,84
1,5,7,11,14,17,20,23,26,29,31,34,39,40,46,50,54,58,62,66,69,72,74,77,79,84
2,5,7,11,14,17,21,23,25,29,31,34,39,40,46,50,54,58,62,66,69,72,74,77,79,84
2,6,7,11,14,17,21,23,25,29,31,34,39,40,46,50,54,58,62,66,69,72,74,77,79,
2,4,7,10,13,17,20,23,25,28,31,34,37,40,44,48,52,56,60,64,68,71,74,77,80,
2,4,7,10,13,16,20,24,25,28,31,34,37,40,44,48,52,56,60,64,68,71,74,77,80,
2,5,7,10,14,17,21,23,25,28,31,34,37,40,44,48,52,56,60,64,68,71,74,77,80,
1,4,7,10,13,16,19,23,25,28,31,34,37,40,44,48,52,56,60,64,68,71,74,77,80,
1,4,7,10,13,16,19,22,25,28,31,34,37,41,44,48,52,56,60,64,68,71,74,77,79,
1,4,7,10,13,16,19,23,25,28,31,34,37,41,44,48,52,56,60,64,68,71,74,77,79,
1,4,7,10,13,16,19,23,25,28,31,34,37,41,44,48,52,56,60,64,68,71,74,77,79,
1,4,7,10,13,16,19,22,25,28,31,34,37,41,44,48,52,56,60,64,68,71,74,77,79,
3,5,8,11,14,17,21,24,25,28,31,34,37,41,44,48,52,56,60,64,68,71,74,77,80,
3,5,8,11,15,18,21,24,25,28,31,34,38,41,45,49,53,57,61,65,69,72,74,77,79,
3,6,9,12,15,18,21,24,25,28,31,34,39,41,46,50,54,58,62,66,69,72,74,77,79,
3,6,9,12,15,18,21,24,25,28,31,34,39,41,46,50,54,58,62,66,69,72,74,77,79,
3,6,9,12,15,18,21,24,25,28,31,34,39,41,46,50,54,58,62,66,69,72,74,77,79,
2,5,7,11,14,18,21,23,25,29,31,34,39,42,46,50,54,58,62,66,69,72,74,77,79,
2,5,8,11,15,18,21,23,26,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
2,5,8,11,14,17,21,23,26,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
2,6,8,12,15,18,21,23,25,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
2,5,8,12,15,18,21,22,25,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
2,6,9,12,15,18,21,23,25,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
3,6,9,12,15,18,21,23,25,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
3,6,9,12,15,18,21,24,25,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
3,6,9,12,15,18,21,24,25,28,31,34,39,42,46,50,54,58,62,66,69,72,74,77,80,
